id	uri	name_translit	name_arabic	alias_names	birth_year	death_year	floruit_years	description
4545	https://ismi.mpiwg-berlin.mpg.de/person/4545	Muḥammad ibn Muḥammad al-Jāmī al-Almāsī		Muḥammad al-Jāmī al-Almāsī				TEXT[106192] was_created_by
4670	https://ismi.mpiwg-berlin.mpg.de/person/4670	Šaraf al-Dīn ʿAlī Yazdī	شرف الدین علي یزدي			1454		TEXT[108331] was_created_by, TEXT[137399] was_created_by, PLACE[457991] lived_in, PLACE[374934] lived_in, PLACE[412619] died_in, PLACE[87675] lived_in, PLACE[87675] was_born_in, TEXT[118975] was_created_by, TEXT[107781] was_created_by, TEXT[125785] was_created_by, TEXT[140879] was_created_by
4753	https://ismi.mpiwg-berlin.mpg.de/person/4753	Abū al-Wafā ibn Saʿīd		Abū al-Wafā ibn Saʿīd				TEXT[81526] was_created_by
4924	https://ismi.mpiwg-berlin.mpg.de/person/4924	Abū Isḥāq ibn ʿAbd Allāh Khādim Burhānī Kubnāwī						TEXT[322798] was_created_by
4998	https://ismi.mpiwg-berlin.mpg.de/person/4998	Maḥmūd ibn Muḥammad ibn Muḥammad ibn Qiwām al-Qāḍī al-Wālištānī al-Harawī (al-Hirawī)	محمود بن محمّد بن محمّد بن قوام القاضي الوالشتاني الهروي 	محمود بن محمد بن هوام الواشتاني, Maḥmūd al-Wālishtānī, Maḥmūd al-Harawī al-Hayʾawī, Maḥmūd al-Harawī			1445	TEXT[321495] was_created_by, PLACE[374934] lived_in, TEXT[321510] was_created_by, TEXT[321523] was_created_by
5019	https://ismi.mpiwg-berlin.mpg.de/person/5019	Abū ʿAbd Allāh Muḥammad ibn Aḥmad ibn Yaḥyỳ al-Ḥabbāk al-Tilimsānī	أبو عبد الله محمّد بن أحمد بن يحيى الحبّاك التلمساني	ابو عبدالله محمد بن احمد بن الحبّاك, Muḥammad al-Ḥabbāk		1462		TEXT[321619] was_created_by, TEXT[321631] was_created_by, TEXT[98331] was_created_by, PLACE[321561] was_born_in
5110	https://ismi.mpiwg-berlin.mpg.de/person/5110	ʿAbd al-Kāfī b. ʿAbd al-Majīd b. ʿAbd Allāh al-Tabrīzī	عبد الكافي بن عبد المجيد بن عبد لله التبريزي				1278	WITNESS[24453] was_copied_by
5277	https://ismi.mpiwg-berlin.mpg.de/person/5277	Abū al-Faḍāʾil ʿIzz al-Dīn ʿAbd al-ʿAzīz ibn Muḥammad al-Wafāʾī	أبو الفضائل عزّ الدين عبد العزيز بن محمّد الوفائي	ʿIzz al-Dīn al-Wafāʾī, Îzzüddin b. Muhammed al-Vefaî', Abū al-Faḍāʾil Wafāʾī		1469		TEXT[328949] was_created_by, TEXT[328889] was_created_by, TEXT[328960] was_created_by, TEXT[324228] was_created_by, TEXT[328262] was_created_by, TEXT[328284] was_created_by, TEXT[328855] was_created_by, TEXT[324330] was_created_by, TEXT[324319] was_created_by, TEXT[328844] was_created_by, TEXT[21748] was_created_by, TEXT[328937] was_created_by, TEXT[328833] was_created_by, TEXT[328925] was_created_by, TEXT[328311] was_created_by, TEXT[324292] was_created_by, TEXT[328901] was_created_by, TEXT[324307] was_created_by, TEXT[324252] was_created_by, TEXT[89038] was_created_by, TEXT[328913] was_created_by, TEXT[324201] was_created_by, TEXT[324341] was_created_by, TEXT[328324] was_created_by, TEXT[328877] was_created_by, TEXT[328250] was_created_by, TEXT[175968] was_created_by, TEXT[328972] was_created_by, TEXT[328866] was_created_by, TEXT[271783] was_created_by, TEXT[328297] was_created_by, TEXT[328273] was_created_by, TEXT[324240] was_created_by, TEXT[328342] was_created_by, TEXT[328335] was_created_by, TEXT[324215] was_created_by, TEXT[328983] was_created_by, TEXT[324266] was_created_by, PLACE[85226] lived_in
5417	https://ismi.mpiwg-berlin.mpg.de/person/5417	Mehmed Emīn ibn ʿAbd al-Raḥīm		Mehmed Emīn ibn ʿAbd al-Raḥīm				PLACE[174510] lived_in, TEXT[201281] was_created_by
5490	https://ismi.mpiwg-berlin.mpg.de/person/5490	Abū al-Qāsim ʿAlāʾ al-Dīn ʿAlī ibn Muḥammad al-Qūšjī	أبو القاسم علاء الدين علي بن محمّد القوشجي	علي القوشجي, ʿAlī Ḳūshī, ʿAlī ibn Muḥammad al-Qūshjī, ʿAlī al-Qūshjī, ʿAlāʾ al-Dīn ʿAlī ibn Muḥammad al-Qūšjī , Zeīn ed-Din Ali Koushtchi, Ḳūshjī, Khwāja, Ali Kuşçu, Ali Kuşci, Abū al-Qāsim ʿAlāʾ al-Dīn ʿAlī ibn Muḥammad Qūščī-zāde,  Molla ʿAli Qûschgi	1399	1474		TEXT[519154] was_created_by, TEXT[519132] was_created_by, TEXT[520955] was_created_by, TEXT[175923] was_created_by, TEXT[79434] was_created_by, TEXT[329978] was_created_by, TEXT[298054] was_created_by, TEXT[330055] was_created_by, TEXT[11768] was_created_by, TEXT[522753] was_created_by, TEXT[329799] was_created_by, TEXT[42839] was_created_by, TEXT[329778] was_created_by, TEXT[329789] was_created_by, TEXT[329767] was_created_by, TEXT[522820] was_created_by, TEXT[329745] was_created_by, TEXT[206168] was_created_by, TEXT[329756] was_created_by, TEXT[30635] was_created_by, TEXT[329733] was_created_by, PLACE[484892] lived_in, PLACE[380989] lived_in, PLACE[374934] lived_in, PLACE[87068] lived_in, PLACE[362860] lived_in, PLACE[85148] lived_in, PLACE[85148] died_in, PERSON[528222] was_student_of, PERSON[18142] was_student_of, PERSON[493691] was_student_of, PERSON[22411] was_student_of, PERSON[1080] was_student_of, PERSON[455] was_student_of, PLACE[362860] was_born_in, WITNESS[518612] was_copied_by, WITNESS[176993] was_copied_by, WITNESS[518007] was_copied_by
