uri	gender	birthDate	deathDate	activeDate	birthPlace	deathPlace	nameLat	firstNameLat	lastNameLat	normLa	nameAra	firstNameAra	lastNameAra	alternateNameAra	alternateFirstNameAra	alternateLastNameAra	alternateNameLat	alternateFirstNameLat	alternateLastNameLat
DiJeSt206635	male					[]	Sawaed, Salih Ali	Salih Ali	Sawaed	Salih Ali Sawaed	سواعد، صالح علي	صالح علي	سواعد	{'سواعد، صالح'}	{'صالح'}	{'سواعد، صالح'}	{'Sawāʻid, Ṣāliḥ ʻAlī', 'Ali Sawaed, Salih', 'Sawaed, Salih'}	'Ṣāliḥ ʻAlī', 'Salih'	'Sawāʻid', 'Sawaed', 'Ali Sawaed'
DiJeSt206704						[]					ابراهيم، طارق	طارق	ابراهيم	set()	set()	set()	set()	set()	set()
DiJeSt206812	male					[]	Ṭirḳel, Eliʻezer	Eliʻezer	Ṭirḳel	Eliʻezer Ṭirḳel	تيركل، اليعزر	اليعزر	تيركل	set()	set()	set()	set()	set()	set()
DiJeSt206845	male					[]	Shamai, Dudi	Dudi	Shamai	Dudi Shamai	شماي، دودي	دودي	شماي	set()	set()	set()	set()	set()	set()
DiJeSt206971	female	[1931,1930]				[]	al-Sa'dawi, Nawal	Nawal	al-Sa'dawi	Nawal al-Sa'dawi	السعداوي، نوال	نوال	السعداوي	set()	set()	set()	"{'Saadawi, Nawal', ""Nawal al-Sa'dawi"", 'Sadawi, Nawal', 'Saʻdāwī, Nawāl', 'el Saadoui, Naoual', 'Saadoui, Naoual el', 'el-saadawi, Nawal'}"	'', 'Nawāl', 'Nawal', 'Naoual', 'Naoual el'	'', 'Saadawi', 'Saʻdāwī', 'el-saadawi', 'Sadawi', 'Saadoui', 'el Saadoui'
DiJeSt207001	female					[]	Taizi, Naomi	Naomi	Taizi	Naomi Taizi	تعيزي، نعومي	نعومي	تعيزي	set()	set()	set()	set()	set()	set()
DiJeSt207153	male					[]					فريدلندر، ألكس	ألكس	فريدلندر	set()	set()	set()	set()	set()	set()
DiJeSt207276	male					[]	Rosen, Adi	Adi	Rosen	Adi Rosen	روزن، عادي	عادي	روزن	set()	set()	set()	set()	set()	set()
DiJeSt207330	male	1875-07-26	1961-06-06			Kuessnacht	Jung, C. G.	C. G.	Jung	C. G. Jung	يونغ، كارل جوستاڤ	كارل جوستاڤ	يونغ	{'يونغ، كارل ج.', 'يونغ، ك. ج.'}	{'ك. ج.', 'كارل ج.'}	{'يونغ، كارل ج.', 'يونغ، ك. ج.'}	{'JUNG, CARL GUSTAV', 'Jung, Karl Gustav', 'Jung, Carl Gustav'}	'CARL GUSTAV', 'Karl Gustav', 'Carl Gustav'	'Jung', 'JUNG'
DiJeSt207367	male	1947			Tunisia	[]	Lellouche, Ofer	Ofer	Lellouche	Ofer Lellouche	لالوش، عوفر	عوفر	لالوش	set()	set()	set()	{'Lelush, ʻOfer', 'Lalush, ʻOfer'}	'ʻOfer'	'Lelush', 'Lalush'
