uri	related-uri	ccodes	matches	lon	lat
http://data.geo-kima.org/Place/13639	https://ismi.mpiwg-berlin.mpg.de/place/350578	LB	https://www.wikidata.org/wiki/Q163490;https://www.geonames.org/268064	35.398055555556	33.560555555556
http://data.geo-kima.org/Place/6136	https://ismi.mpiwg-berlin.mpg.de/place/173935		https://www.wikidata.org/wiki/Q214	20	49
http://data.geo-kima.org/Place/96	https://ismi.mpiwg-berlin.mpg.de/place/74460	SE	https://www.wikidata.org/wiki/Q1754;https://www.geonames.org/2673730	18.068611111	59.329444444
http://data.geo-kima.org/Place/1742	https://ismi.mpiwg-berlin.mpg.de/place/86689	FR	https://www.wikidata.org/wiki/ Q6602;https://www.geonames.org/2973783	7.74553	48.58392
http://data.geo-kima.org/Place/14760	https://ismi.mpiwg-berlin.mpg.de/place/442705	IQ	https://www.wikidata.org/wiki/Q191204;https://www.geonames.org/98463	45.433333333333	35.55
http://data.geo-kima.org/Place/6303	https://ismi.mpiwg-berlin.mpg.de/place/178937				
http://data.geo-kima.org/Place/8048	https://ismi.mpiwg-berlin.mpg.de/place/174694		https://www.wikidata.org/wiki/Q858	38.583333	35.216667
http://data.geo-kima.org/Place/22763	https://ismi.mpiwg-berlin.mpg.de/place/314816				
http://data.geo-kima.org/Place/7437	https://ismi.mpiwg-berlin.mpg.de/place/484892	IR	https://www.wikidata.org/wiki/Q80053;https://www.geonames.org/113646	46.283333333333	38.083333333333
http://data.geo-kima.org/Place/17991	https://ismi.mpiwg-berlin.mpg.de/place/179518		https://www.wikidata.org/wiki/Q863	71.366667	38.583333
http://data.geo-kima.org/Place/9757	https://ismi.mpiwg-berlin.mpg.de/place/359019	TR	https://www.wikidata.org/wiki/Q134287;https://www.geonames.org/299817	34.9	36.916666666667
http://data.geo-kima.org/Place/767	https://ismi.mpiwg-berlin.mpg.de/place/86548	UZ	https://www.wikidata.org/wiki/Q269;https://www.geonames.org/1512569	69.266666666	41.3
http://data.geo-kima.org/Place/806	https://ismi.mpiwg-berlin.mpg.de/place/87569	GE	https://www.wikidata.org/wiki/Q994;https://www.geonames.org/611717	44.783333333	41.716666666
http://data.geo-kima.org/Place/15337	https://ismi.mpiwg-berlin.mpg.de/place/443439	TR	https://www.wikidata.org/wiki/Q183651;https://www.geonames.org/738743	36.554166666667	40.309722222222
http://data.geo-kima.org/Place/753	https://ismi.mpiwg-berlin.mpg.de/place/38689	US	https://www.wikidata.org/wiki/Q172;https://www.geonames.org/6167865	-79.4	43.7
http://data.geo-kima.org/Place/7975	https://ismi.mpiwg-berlin.mpg.de/place/173557		https://www.wikidata.org/wiki/Q948	10	34
http://data.geo-kima.org/Place/8734	https://ismi.mpiwg-berlin.mpg.de/place/86305	IT	https://www.wikidata.org/wiki/Q16287	7.7	45.066666666667
http://data.geo-kima.org/Place/8120	https://ismi.mpiwg-berlin.mpg.de/place/174510		https://www.wikidata.org/wiki/Q43	36	39
http://data.geo-kima.org/Place/8273	https://ismi.mpiwg-berlin.mpg.de/place/87257	RU	https://www.wikidata.org/wiki/Q911	55.966666666667	54.733333333333
